ARTINUMMER;ORIG;BEZEICH;BEZEICH2;GROSSE;FARBE;PREISFAKT;EK;VK;VK2;VK3;VK4;VK5;VK6;VK7;VK8;VK9;VK10;LVKDAT;UVBVK;DEK;EKMENGE;LEK;LEKDAT;INVDATUM;INVBEW;LPAND;ETIKETT;WG;LR;MATCH;EAN;KEYNUM;FKEYNUM;FMENGE;LAGER;MIN;MINWIN;MAX;SPERRMAX;NACHMENGE;NACHWIN;REKLAMA;BESTMENGE;RABATTGR;TEILEART;MWSTSCH;GEWICHT;RESERV;RABATT;ANMERK1;ANMERK2;BESTELLT;ANLAGEDAT;VPGR;PRAMIE;KALKBASIS;KALKUL;SPERRE;RABPREIS;BESTANDJN;LIEFERBAR;AUTOBEST;AUSLAUF;ARCHIV;INTERNET;INETDBT;IRABATT;WEITERE;KOMMISSION;PAKETTEIL;GERAETJN;KDZWANGJN;HATBILDER;RABATTJN;TIMESTAMP;BILDNUM;EINHMENGE;EINHTYP;ZOLLTARIF;ORIGIN;SHOPWGR;IBEZEICH;IFARBE;MARKE;IPLATZ;EBAYKAT;EBAYKAT2;INETDBT2;EBAYSKAT;EBAYSKAT2;EBAYADBT;EBAYZUST;EBAYTNO;VATYP;ASIN;RETURNFLAG;PMP;HAZARD;BLOCK;TBLOCK;VKZ;V01;V02;V03;V04;V05;V06;V07;V08;V09;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;VORJAHR;
90269-06003-00;;NIET;;;;0;0.42;1.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;09.02.18;0.71;0.41;8;0.41;07.02.18;  .  .  ;0.00;19.01.19;3;500;1;90269-06003-000;;7778;0;0;;0;0;0;0;0;0;0;0;C;CP;1;0.00;0.00;0;Automatisch aufgenommen;;0;13.04.13;;0.00;V;0.00;N;;J;J;J;;N;N;47868;0.00;JJ0NNNJNN 0;N;N;N;N;N;J;2013041710:08:28;0;0.00;;;;0;;;;0;;;47869;;;;;0;0;;;;;;;;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
90269-06008-00;;NIET;;;;0;0.56;1.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.07.18;0.95;0.55;190;0.55;03.07.18;21.12.15;0.00;19.01.19;3;500;1;90269-06008-000;;3671;0;0;nieten;5;0;0;0;10;0;0;1;C;CP;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;J;J;N;N;N;35279;0.00;JJ0NNJJNN 0N;N;J;N;N;N;J;2016110810:35:54;0;0.00;;;;0;;;;0;;;37285;;;;;0;0;;;;;;;;5;3;0;4;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;
90269-06011-00;;NIET;;;;0;0.74;1.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;22.07.14;1.25;1.23;9;1.23;13.02.14;21.12.15;1.23;19.01.19;3;500;1;90269-06011-000;;8940;0;0;;0;0;0;0;1;0;0;0;C;CP;1;0.00;0.00;0;;;0;07.02.14;;0.00;V;0.00;N;;J;J;J;;N;N;53342;0.00;JJ0NNNJNN 0;N;N;N;N;N;J;2014021309:20:22;0;0.00;;;;0;;;;0;;;53343;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
90269-06081-00;;NIET;;;;0;0.56;1.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.10.18;0.95;0.58;65;0.55;03.07.18;21.12.15;0.00;19.01.19;3;500;1;90269-06081-000;;3672;0;0;k9;5;0;0;0;5;0;0;1;C;CP;1;0.00;1.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;J;J;N;N;N;35280;0.00;JJ0NNJJNN 0N;N;N;N;N;N;J;2016060207:54:53;0;0.00;;;;0;;;;0;;;37365;;;;;0;0;;;;;;;;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
90269-06806-00;;NIET;;;;0;0.74;1.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.10.18;1.25;0.96;16;0.96;19.02.14;21.12.15;0.96;19.01.19;3;500;1;90269-06806-000;;5437;0;0;NIETEN;2;0;0;0;5;0;0;0;C;CP;1;0.00;0.00;0;Automatisch aufgenommen;;0;26.03.12;;0.00;V;0.00;N;;J;J;J;;N;N;37831;0.00;JJ0NNJJNN 0;N;N;N;N;N;J;2014021909:18:50;0;0.00;;;;0;;;;0;;;37832;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
90269-07006-00;;NIET;;;;0;0.74;1.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;09.04.16;1.25;0.64;9;0.65;12.11.13;21.12.15;0.64;19.01.19;3;500;1;90269-07006-000;;3564;0;0;nieten;1;0;0;0;2;0;0;1;C;CP;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;J;J;N;N;N;35281;0.00;JJ0NNJJNN 0N;N;N;N;N;N;J;2014061609:04:39;0;0.00;;;;0;;;;0;;;44327;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
90269-07007-00;;NIET;;;;0;0.74;1.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;31.01.18;1.25;0.71;55;0.71;03.07.18;21.12.15;0.00;19.01.19;3;500;1;90269-07007-000;;3806;0;0;nieten;2;0;0;0;2;0;0;1;C;CP;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;J;J;N;N;N;35282;0.00;JJ0NNJJNN 0;N;N;N;N;N;J;2015090908:26:50;0;0.00;;;;0;;;;0;;;44916;;;;;0;0;;;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;
90269-07010-00;;NIET;;;;0;0.74;1.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.07.13;1.25;1.27;5;1.08;27.09.12;21.12.15;1.27;19.01.19;3;500;1;90269-07010-000;;3965;0;0;nieten;0;0;0;0;0;0;0;1;C;CP;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;J;J;N;N;N;35283;0.00;JJ0NNNJNN 0;N;N;N;N;N;J;2012092708:04:07;0;0.00;;;;0;;;;0;;;44919;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
90269-07012-00;;NIET;;;;0;0.74;1.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;19.08.15;1.25;0.89;25;0.89;09.12.15;21.12.15;0.89;19.01.19;3;500;1;90269-07012-000;;8907;0;0;k9;0;0;0;0;1;0;0;0;C;CP;1;0.00;0.00;0;;;0;22.01.14;;0.00;V;0.00;N;;J;J;J;;N;N;53205;0.00;JJ0NNNJNN 0;N;N;N;N;N;J;2015120909:46:15;0;0.00;;;;0;;;;0;;;53206;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
90269-07076-00;;NIET;;;;0;0.74;1.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.02.19;1.25;0.72;110;0.71;05.07.18;21.12.15;0.00;19.01.19;3;500;1;90269-07076-000;;5105;0;0;nieten;5;0;0;0;5;0;0;0;C;CP;1;0.00;0.00;0;Automatisch aufgenommen;;0;15.02.12;;0.00;V;0.00;N;;J;J;J;;N;N;36458;0.00;JJ0NNJJNN 0N;N;N;N;N;N;J;2016051308:38:22;0;0.00;;;;0;;;;0;;;36459;;;;;0;0;;;;;;;;0;0;0;3;5;4;1;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;10;
90269-07077-00;;NIET;;;;0;0.74;1.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.06.18;1.25;0.71;105;0.71;01.06.18;21.12.15;0.00;19.01.19;3;500;1;90269-07077-000;;3334;0;0;nieten;2;0;0;0;5;0;0;1;C;CP;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;J;J;N;N;N;35284;0.00;JJ0NNJJNN 0;N;N;N;N;N;J;2016042707:52:53;0;0.00;;;;0;;;;0;;;37368;;;;;0;0;;;;;;;;4;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;
90269-08001-00;;NIET;;;;0;0.74;1.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;22.06.15;1.25;2.03;10;1.91;17.07.13;21.12.15;2.03;19.01.19;3;500;1;90269-08001-000;;3859;0;0;nieten;1;0;0;0;10;0;0;1;C;CP;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;J;J;N;N;N;35285;0.00;JJ0NNJJNN 0N;N;N;N;N;N;J;2014071516:28:59;0;0.00;;;;0;;;;0;;;44915;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
90269-08041-00;;NIET;;;;0;0.74;1.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;  .  .  ;1.26;0.00;0;0.00;  .  .  ;21.12.15;3.57;19.01.19;3;500;1;90269-08041-000;;3834;0;0;641;0;0;0;0;0;0;0;1;C;CP;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;N;J;N;;N;35286;0.00;NN;;N;N;N;;;;0;0.00;;;;0;;;;0;;;;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
90280-03017-00;;EINLEGEKEIL, WOODRUFF;;;;0;1.30;2.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;24.09.15;2.21;0.96;6;0.96;06.10.12;21.12.15;0.96;19.01.19;3;500;1;90280-03017-000;;1784;0;0;642;1;0;0;0;1;0;0;1;C;CP;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;J;J;N;N;N;35287;0.00;JJ0NNJJNN 0N;N;N;N;N;N;J;2015092408:29:11;0;0.00;;;;0;;;;0;;;37953;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
90280-03047-00;;EINLEGE KEIL, WOODRUFF;;;;0;5.11;10.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;  .  .  ;8.69;3.45;0;0.00;22.04.09;21.12.15;3.68;19.01.19;3;500;1;90280-03047-000;;4398;0;0;642;0;0;0;0;0;0;0;1;C;CP;1;0.00;0.00;0;;;0;03.04.09;;0.00;V;0.00;N;;J;J;J;N;;N;35288;0.00;NN;;N;N;N;;;;0;0.00;;;;0;;;;0;;;;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
