ARTINUMMER;ORIG;BEZEICH;BEZEICH2;GROSSE;FARBE;PREISFAKT;EK;VK;VK2;VK3;VK4;VK5;VK6;VK7;VK8;VK9;VK10;LVKDAT;UVBVK;DEK;EKMENGE;LEK;LEKDAT;INVDATUM;INVBEW;LPAND;ETIKETT;WG;LR;MATCH;EAN;KEYNUM;FKEYNUM;FMENGE;LAGER;MIN;MINWIN;MAX;SPERRMAX;NACHMENGE;NACHWIN;REKLAMA;BESTMENGE;RABATTGR;TEILEART;MWSTSCH;GEWICHT;RESERV;RABATT;ANMERK1;ANMERK2;BESTELLT;ANLAGEDAT;VPGR;PRAMIE;KALKBASIS;KALKUL;SPERRE;RABPREIS;BESTANDJN;LIEFERBAR;AUTOBEST;AUSLAUF;ARCHIV;INTERNET;INETDBT;IRABATT;WEITERE;KOMMISSION;PAKETTEIL;GERAETJN;KDZWANGJN;HATBILDER;RABATTJN;TIMESTAMP;BILDNUM;EINHMENGE;EINHTYP;ZOLLTARIF;ORIGIN;SHOPWGR;IBEZEICH;IFARBE;MARKE;IPLATZ;EBAYKAT;EBAYKAT2;INETDBT2;EBAYSKAT;EBAYSKAT2;EBAYADBT;EBAYZUST;EBAYTNO;VATYP;ASIN;RETURNFLAG;PMP;HAZARD;BLOCK;TBLOCK;VKZ;V01;V02;V03;V04;V05;V06;V07;V08;V09;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;VORJAHR;
22B-F174L-30-00;;AUFKLEBERSTATZ 2;;;;0;32.56;63.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.08.18;55.35;31.60;1;31.60;24.07.18;  .  .  ;0.00;19.01.19;3;500;1;22B-F174L-30-000;;13347;0;0;;0;0;0;0;1;0;0;0;C;CP;1;0.00;0.00;0;;;0;10.07.18;1;0.00;V;0.00;N;;J;J;J;;N;N;84381;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2018071012:10:07;0;0.00;;;;0;;;;0;;;84382;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22B-F1778-00-00;;POSITIONIERDAMPFER 1;;;;0;4.40;9.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.05.13;7.47;3.89;2;3.89;16.05.13;  .  .  ;0.00;19.01.19;3;500;1;22B-F1778-00-000;;7974;0;0;;0;0;0;0;0;0;0;0;C;CP;1;0.00;0.00;0;Automatisch aufgenommen;;0;13.05.13;;0.00;V;0.00;N;;J;J;J;;N;N;48700;0.00;JJ0NNNJNN 0;N;N;N;N;N;J;2013051812:57:13;0;0.00;;;;0;;;;0;;;48701;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22B-F1978-00-00;;22B-F1978-00-00;;;;0;13.54;27.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.05.13;23.01;10.43;1;10.43;16.05.13;  .  .  ;0.00;19.01.19;3;500;1;22B-F1978-00-000;;7975;0;0;;0;0;0;0;0;0;0;0;C;CP;1;0.00;0.00;0;Automatisch aufgenommen;;0;13.05.13;;0.00;V;0.00;N;;J;J;J;;N;N;48702;0.00;JJ0NNNJNN 0;N;N;N;N;N;J;2013051812:57:13;0;0.00;;;;0;;;;0;;;48703;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22B-F2151-00-00;;SCHUTZDICHTUNG;;;;0;36.27;71.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;07.08.14;61.67;31.72;2;31.72;06.08.14;  .  .  ;0.00;19.01.19;3;500;1;22B-F2151-00-000;;9131;0;0;;0;0;0;0;1;0;0;0;C;CP;1;0.00;0.00;0;;;0;10.04.14;;0.00;V;0.00;N;;J;J;J;;N;N;55674;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2014080607:56:11;0;0.00;;;;0;;;;0;;;55675;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22B-F217F-00-00;;VERBINDUNGSSTANGE 1;;;;0;27.38;55.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.08.14;46.55;28.06;1;28.06;14.08.14;  .  .  ;0.00;19.01.19;3;500;1;22B-F217F-00-000;;9770;0;0;;0;0;0;0;1;0;0;0;C;CP;1;0.00;0.00;0;;;0;11.08.14;;0.00;V;0.00;N;;J;J;J;;N;N;58995;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2014081408:05:29;0;0.00;;;;0;;;;0;;;58996;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22B-F2311-00-00;;KETTENKASTEN;;;;0;20.37;40.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;25.06.14;33.67;19.40;1;19.40;25.06.14;  .  .  ;0.00;19.01.19;3;500;1;22B-F2311-00-000;;9076;0;0;;0;0;0;0;1;0;0;0;AA;SN;1;0.00;0.00;0;;;0;28.03.14;;0.00;V;0.00;N;;J;J;J;;N;N;54226;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2014062508:22:00;0;0.00;;;;0;;;;0;;;54227;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22B-F3110-01-00;22BF31100100;INNERES GABELBEINROHR 1;;;;0;117.07;222.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;28.08.15;193.49;133.92;1;133.92;28.08.15;  .  .  ;0.00;19.01.19;3;500;1;22B-F3110-01-000;;11029;0;0;;0;0;0;0;1;0;0;0;AA;SN;1;0.00;0.00;0;;;0;26.08.15;;0.00;V;0.00;N;;J;N;J;;N;N;67492;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2015082808:17:38;0;0.00;;;;0;;;;0;;;67493;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22B-F3144-10-00;;STAUBDICHTUNG;;;;0;11.04;23.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11.02.17;19.91;3.30;5;3.45;15.09.16;21.12.15;0.00;19.01.19;3;500;1;22B-F3144-10-000;;4621;0;0;2572;1;0;0;0;2;0;0;1;Q;NC;1;0.00;0.00;0;;;0;02.03.11;;0.00;V;0.00;N;;J;N;J;N;N;N;32693;0.00;JJ0NNJJNN 0N;N;N;N;N;N;J;2017020817:31:26;0;0.00;;;;0;;;;0;;;38604;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;
22B-F315H-10-00;22BF315H1000;PROTECTOR 1;;;;0;10.39;21.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;02.04.15;17.66;9.91;1;9.91;24.04.15;  .  .  ;0.00;19.01.19;3;500;1;22B-F315H-10-000;;10222;0;0;;0;0;0;0;1;0;0;0;C;CP;1;0.00;0.00;0;;;0;10.02.15;;0.00;V;0.00;N;;J;J;J;;N;N;61231;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2015042408:29:35;0;0.00;;;;0;;;;0;;;61232;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22B-F315J-00-00;;PROTECTOR 2;;;;0;10.39;21.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.02.18;17.66;10.08;1;10.08;23.02.18;  .  .  ;0.00;19.01.19;3;500;1;22B-F315J-00-000;;13006;0;0;;0;0;0;0;1;0;0;0;C;CP;1;0.00;0.00;0;;;0;20.02.18;1;0.00;V;0.00;N;;J;J;J;;N;N;81398;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2018022010:51:47;0;0.00;;;;0;;;;0;;;81399;;;;;0;0;;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22B-F315J-10-00;;PROTECTOR 22;;;;0;10.39;21.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;29.10.16;17.66;10.11;1;10.11;07.11.16;  .  .  ;0.00;19.01.19;3;500;1;22B-F315J-10-000;;12120;0;0;;0;0;0;0;1;0;0;0;C;CP;1;0.00;0.00;0;;;0;29.10.16;1;0.00;V;0.00;N;;J;J;J;;N;N;74813;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2016102910:01:30;0;0.00;;;;0;;;;0;;;74814;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22B-F3174-00-00;;STUTZE, SCHEINWERFER;;;;0;66.22;129.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;20.02.19;112.57;66.22;3;66.22;01.02.19;  .  .  ;0.00;01.02.19;3;500;1;22B-F3174-00-000;;5725;0;0;;0;0;0;0;0;0;0;0;C;CP;1;0.00;-1.00;0;Automatisch aufgenommen;;0;23.04.12;;0.00;V;0.00;N;;J;J;J;;N;N;39041;0.00;JJ0NNNJNN 0;N;N;N;N;N;J;2012050808:13:33;0;0.00;;;;0;;;;0;;;39042;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;
22B-F3318-00-00;;KABELHALTER 1;;;;0;10.80;22.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;25.06.13;18.36;10.32;2;10.32;28.06.13;  .  .  ;0.00;19.01.19;3;500;1;22B-F3318-00-000;;8214;0;0;;0;0;0;0;0;0;0;0;C;CP;1;0.00;0.00;0;Automatisch aufgenommen;;0;25.06.13;;0.00;V;0.00;N;;J;J;J;;N;N;49777;0.00;JJ0NNNJNN 0;N;N;N;N;N;J;2013062807:41:53;0;0.00;;;;0;;;;0;;;49778;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22B-F331W-00-00;;22B-F331W-00-00;;;;0;7.47;15.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.05.12;12.70;7.20;1;7.20;08.05.12;  .  .  ;0.00;19.01.19;3;500;1;22B-F331W-00-000;;5722;0;0;;0;0;0;0;0;0;0;0;C;CP;1;0.00;0.00;0;Automatisch aufgenommen;;0;23.04.12;;0.00;V;0.00;N;;J;J;J;;N;N;39035;0.00;JJ0NNNJNN 0;N;N;N;N;N;J;2012050808:13:34;0;0.00;;;;0;;;;0;;;39036;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22B-F4141-00-00;;SCHUTZ, KRAFTSTOFFTANK;;;;0;13.73;28.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;05.06.14;23.34;12.56;1;12.56;16.05.14;  .  .  ;0.00;19.01.19;3;500;1;22B-F4141-00-000;;9276;0;0;;0;0;0;0;1;0;0;0;C;CP;1;0.00;0.00;0;;;0;14.05.14;;0.00;V;0.00;N;;J;J;J;;N;N;56594;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2014051607:49:24;0;0.00;;;;0;;;;0;;;56595;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22B-F4602-02-00;22BF46020200;VERSCHLUSSKAPPE KOMPL.;;;;0;14.29;29.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.02.15;24.30;13.55;1;13.55;18.02.15;  .  .  ;0.00;19.01.19;3;500;1;22B-F4602-02-000;;10238;0;0;;0;0;0;0;1;0;0;0;C;CP;1;0.00;0.00;0;;;0;13.02.15;;0.00;V;0.00;N;;J;J;J;;N;N;61307;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2015021809:38:14;0;0.00;;;;0;;;;0;;;61308;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22B-F5381-00-00;;RADACHSE;;;;0;51.90;101.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.04.13;88.24;28.65;2;28.65;11.04.13;  .  .  ;0.00;19.01.19;3;500;1;22B-F5381-00-000;;7274;0;0;;0;0;0;0;0;0;0;0;C;CP;1;0.00;0.00;0;Automatisch aufgenommen;;0;05.10.12;;0.00;V;0.00;N;;J;J;J;;N;N;45224;0.00;JJ0NNNJNN 0;N;N;N;N;N;J;2013041107:46:53;0;0.00;;;;0;;;;0;;;45225;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22B-F5388-00-00;;KETTENSPANNER 1;;;;0;17.22;35.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;20.09.13;29.27;13.84;3;13.84;15.11.13;21.12.15;13.84;19.01.19;3;500;1;22B-F5388-00-000;;5347;0;0;2551;0;0;0;0;0;0;0;0;C;CP;1;0.00;0.00;0;Automatisch aufgenommen;;0;19.03.12;;0.00;V;0.00;N;;J;J;J;;N;N;37461;0.00;JJ0NNNJNN 0;N;N;N;N;N;J;2013111509:33:49;0;0.00;;;;0;;;;0;;;37462;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22B-F5809-00-00;;KOLBENSATZ, BREMSSATTEL;;;;0;35.64;69.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.03.17;60.59;35.06;3;35.06;04.03.17;21.12.15;0.00;19.01.19;3;500;1;22B-F5809-00-000;;7696;0;0;2311;0;0;0;0;0;0;0;0;C;CP;1;0.00;0.00;0;Automatisch aufgenommen;;0;25.03.13;;0.00;V;0.00;N;;J;J;J;;N;N;47523;0.00;JJ0NNNJNN 0;N;N;N;N;N;J;2014031408:18:04;0;0.00;;;;0;;;;0;;;47524;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
22B-F580W-01-00;;BREMSSATTEL KOMPL., HINTEN;;;;0;250.72;477.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.03.14;414.38;128.92;1;128.92;06.03.14;  .  .  ;0.00;19.01.19;3;500;1;22B-F580W-01-000;;8997;0;0;;0;0;0;0;0;0;0;0;AA;SN;1;0.00;0.00;0;;;0;04.03.14;;0.00;V;0.00;N;;J;J;J;;N;N;53689;0.00;JJ0NNNJNN 0;N;N;N;N;N;J;2014030609:15:35;0;0.00;;;;0;;;;0;;;53690;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22B-F5811-00-00;;BREMSBELAGPLATTE, SATTEL 2;;;;0;24.08;57.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;06.02.19;47.75;20.88;23;21.19;11.07.17;21.12.15;0.00;19.01.19;3;500;1;22B-F5811-00-000;;4529;0;0;336;2;0;0;0;3;0;0;1;A;K5;1;0.00;0.00;0;;;0;23.06.10;;0.00;V;0.00;N;;J;J;J;N;N;N;32694;0.00;JJ0NNJJNN 0N;N;N;N;N;N;J;2017071108:05:04;0;0.00;;;;0;;;;0;;;37526;;;;;0;0;;;;;;;;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;
22B-F582T-01-00;;BREMSSCHEIBE (L);;;;0;61.64;127.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;06.02.19;111.13;61.64;3;61.64;01.02.19;  .  .  ;0.00;01.02.19;3;500;1;22B-F582T-01-000;;12399;0;0;;0;0;0;0;1;0;0;0;Q;NC;1;0.00;0.00;0;;;0;04.05.17;1;0.00;V;0.00;N;;J;J;J;;N;N;77033;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2017050415:05:00;0;0.00;;;;0;;;;0;;;77034;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;
22B-F582W-01-00;;BREMSSCHEIBE, HINTEN 2;;;;0;57.60;119.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;06.02.19;103.85;57.60;1;57.60;01.02.19;  .  .  ;0.00;01.02.19;3;500;1;22B-F582W-01-000;;13646;0;0;;0;0;0;0;1;0;0;0;Q;NC;1;0.00;0.00;0;;;0;07.01.19;1;0.00;V;0.00;N;;J;J;J;;N;N;86973;0.00;JJ0NNNJNN 0N;N;;N;N;N;J;2019010711:21:00;0;0.00;;;;0;;;;0;;;86974;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
22B-F583T-01-00;;HAUPTBREMSZYLINDER KOMPL.;;;;0;201.56;383.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;22.05.12;333.13;16.56;1;16.56;10.05.12;  .  .  ;0.00;19.01.19;3;500;1;22B-F583T-01-000;;5862;0;0;;0;0;0;0;0;0;0;0;AA;SN;1;0.00;0.00;0;Automatisch aufgenommen;;0;07.05.12;;0.00;V;0.00;N;;J;J;J;;N;N;39686;0.00;JJ0NNNJNN 0;N;N;N;N;N;J;2012051008:21:20;0;0.00;;;;0;;;;0;;;39687;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22B-F5867-00-00;;KONSOLE, HAUPTBREMSZYL.;;;;0;12.68;25.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;  .  .  ;21.56;11.82;1;11.82;13.02.14;21.12.15;11.82;19.01.19;3;500;1;22B-F5867-00-000;;8948;0;0;2142;0;0;0;0;0;0;0;0;C;CP;1;0.00;0.00;0;;;0;11.02.14;;0.00;V;0.00;N;;J;J;J;;N;N;53379;0.00;JJ0NNNJNN 0;N;N;N;N;N;J;2014022812:46:10;0;0.00;;;;0;;;;0;;;53380;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22B-F5872-00-00;;BREMSSCHLAUCH 1;;;;0;44.21;91.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.07.14;79.71;42.32;1;42.32;01.07.14;  .  .  ;0.00;19.01.19;3;500;1;22B-F5872-00-000;;9512;0;0;;0;0;0;0;1;0;0;0;Q;NC;1;0.00;0.00;0;;;0;28.06.14;;0.00;V;0.00;N;;J;J;J;;N;N;57816;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2014070107:41:15;0;0.00;;;;0;;;;0;;;57817;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22B-F5872-20-00;;BREMSSCHLAUCH 1;;;;0;44.21;91.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.08.18;79.71;42.91;1;42.91;24.07.18;  .  .  ;0.00;19.01.19;3;500;1;22B-F5872-20-000;;13351;0;0;;0;0;0;0;1;0;0;0;Q;NC;1;0.00;0.00;0;;;0;10.07.18;1;0.00;V;0.00;N;;J;J;J;;N;N;84389;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2018071012:17:14;0;0.00;;;;0;;;;0;;;84390;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22B-F5911-00-00;;Bremsbeläge WR125;;;;0;20.02;47.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;06.02.19;39.70;20.61;13;21.02;24.03.18;21.12.15;0.00;19.01.19;3;500;1;22B-F5911-00-000;;4530;0;0;336;2;0;0;0;3;0;0;1;A;K5;1;0.00;0.00;0;;;0;23.06.10;;0.00;V;0.00;N;;J;J;J;N;N;N;32695;0.00;JJ0NNJJNN 0N;N;N;N;N;N;J;2017091516:34:11;0;0.00;;;;0;;;;0;;;50469;;;;;0;0;;;;;;;;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;
22B-F5917-10-00;;MANSCHETTE, BREMSSATTEL;;;;0;10.74;21.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;09.04.13;18.25;9.21;1;9.21;15.03.13;  .  .  ;0.00;19.01.19;3;500;1;22B-F5917-10-000;;7614;0;0;;0;0;0;0;0;0;0;0;C;CP;1;0.00;0.00;0;Automatisch aufgenommen;;0;12.03.13;;0.00;V;0.00;N;;J;J;J;;N;N;47277;0.00;JJ0NNNJNN 0;N;N;N;N;N;J;2013031507:29:34;0;0.00;;;;0;;;;0;;;47278;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22B-F5924-01-00;;STIFT, BREMSBELAGPLATTE;;;;0;5.12;10.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.11.16;8.71;9.53;2;5.03;28.02.14;21.12.15;0.00;19.01.19;3;500;1;22B-F5924-01-000;;8978;0;0;352;1;0;0;0;2;0;0;0;C;CP;1;0.00;0.00;0;;;0;26.02.14;;0.00;V;0.00;N;;J;J;J;;N;N;53582;0.00;JJ0NNJJNN 0N;N;N;N;N;N;J;2015120912:50:54;0;0.00;;;;0;;;;0;;;53583;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22B-F5924-10-00;;STIFT, BREMSBELAGPLATTE;;;;0;5.12;10.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11.12.15;8.71;11.49;4;11.49;16.12.15;21.12.15;11.49;19.01.19;3;500;1;22B-F5924-10-000;;8979;0;0;352;1;0;0;0;2;0;0;0;C;CP;1;0.00;0.00;0;;;0;27.02.14;;0.00;V;0.00;N;;J;J;J;;N;N;53589;0.00;JJ0NNJJNN 0N;N;N;N;N;N;J;2015121609:32:13;0;0.00;;;;0;;;;0;;;53590;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22B-F5924-20-00;22BF59242000;STIFT, BREMSBELAGPLATTE;;;;0;5.12;10.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.01.19;8.71;4.97;5;5.05;17.01.19;21.12.15;0.00;19.01.19;3;500;1;22B-F5924-20-000;;10271;0;0;352;1;0;0;0;2;0;0;0;C;CP;1;0.00;0.00;0;;;0;26.02.15;;0.00;V;0.00;N;;J;J;J;;N;N;61492;0.00;JJ0NNJJNN 0N;N;N;N;N;N;J;2016091709:01:28;0;0.00;;;;0;;;;0;;;61493;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
22B-F6111-00-00;;LENKER;;;;0;45.84;87.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;06.02.19;75.76;45.17;13;45.84;01.02.19;21.12.15;0.00;01.02.19;3;500;1;22B-F6111-00-000;;4476;0;0;51;1;0;0;0;1;0;0;1;AA;SN;1;0.00;0.00;0;;;0;04.01.10;;0.00;V;0.00;N;;J;J;J;N;N;N;32696;0.00;JJ0NNJJNN 0N;N;N;N;N;N;J;2018030717:38:41;0;0.00;;;;0;;;;0;;;57632;;;;;0;0;;;;;;;;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;
22B-F6111-10-00;;LENKER;;;;0;45.84;87.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.08.18;75.76;46.16;6;46.16;11.07.15;  .  .  ;0.00;19.01.19;3;500;1;22B-F6111-10-000;;6546;0;0;51;0;0;0;0;0;0;0;0;AA;SN;1;0.00;0.00;0;Automatisch aufgenommen;;0;14.07.12;;0.00;V;0.00;N;;J;J;J;;N;N;42458;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2017030708:05:07;0;0.00;;;;0;;;;0;;;42459;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22B-F6240-00-00;;GRIFF KOMPL.;;;;0;15.55;30.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;19.02.19;25.70;15.55;9;15.55;14.02.19;  .  .  ;0.00;14.02.19;3;500;1;22B-F6240-00-000;;7723;0;0;;0;0;0;0;0;0;0;0;AA;SN;1;0.00;-1.00;0;Automatisch aufgenommen;;0;04.04.13;;0.00;V;0.00;N;;J;J;J;;N;N;47667;0.00;JJ0NNNJNN 0;N;N;N;N;N;J;2015111009:49:09;0;0.00;;;;0;;;;0;;;47668;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;
22B-F6280-00-00;;RUCKBLICKSPIEGEL KOMPL (L);;;;0;11.34;24.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.03.17;20.44;9.85;14;9.85;07.03.17;21.12.15;0.00;19.01.19;3;500;1;22B-F6280-00-000;;6843;0;0;182;1;0;0;0;1;0;0;0;Q;NC;1;0.00;0.00;0;Automatisch aufgenommen;;0;17.08.12;;0.00;V;0.00;N;;J;J;J;;N;N;43667;0.00;JJ0NNJJNN 0N;N;N;N;N;N;J;2016061808:49:50;0;0.00;;;;0;;;;0;;;43668;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
22B-F6290-00-00;;RUCKBLICKSPIEGEL KOMPL (R);;;;0;11.34;24.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;08.03.18;20.44;11.01;7;11.01;13.03.18;21.12.15;0.00;19.01.19;3;500;1;22B-F6290-00-000;;5729;0;0;182;1;0;0;0;1;0;0;0;Q;NC;1;0.00;0.00;0;Automatisch aufgenommen;;0;23.04.12;;0.00;V;0.00;N;;J;J;J;;N;N;39049;0.00;JJ0NNJJNN 0;N;N;N;N;N;J;2013061907:39:08;0;0.00;;;;0;;;;0;;;39050;;;;;0;0;;;;;;;;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22B-F6335-00-00;;KUPPLUNGSSEIL;;;;0;21.13;45.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;04.08.17;38.09;21.79;14;21.79;11.05.17;21.12.15;0.00;19.01.19;3;500;1;22B-F6335-00-000;;4715;0;0;94;1;0;0;0;1;0;0;1;Q;NC;1;0.00;0.00;0;;;0;04.10.11;;0.00;V;0.00;N;;J;J;J;N;N;N;32697;0.00;JJ0NNJJNN 0N;N;N;N;N;N;J;2016091508:18:53;0;0.00;;;;0;;;;0;;;48479;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;
